"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","consortium[berd]","consortium[daphne4nfdi]","consortium[dataplant]","consortium[fairagro]","consortium[fairmat]","consortium[ghga]","consortium[konsortswd]","consortium[mardi]","consortium[nfdi4biodiversity]","consortium[nfdi4bioimage]","consortium[nfdi4cat]","consortium[nfdi4chem]","consortium[nfdi4culture]","consortium[nfdi4datascience]","consortium[nfdi4earth]","consortium[nfdi4energy]","consortium[nfdi4health]","consortium[nfdi4immuno]","consortium[nfdi4ing]","consortium[nfdimatwerk]","consortium[nfdi4memory]","consortium[nfdi4microbiota]","consortium[nfdi4objects]","consortium[nfdixcs]","consortium[punch4nfdi]","consortium[text]","consortium[other]","role[developer]","role[researcher]","role[steward]","role[administrator]","role[manage]","role[unsure]","role[other]","solutions[build]","solutions[buildcomment]","solutions[link]","solutions[linkcomment]","solutions[structure]","solutions[structurecomment]","solutions[informed]","solutions[informedcomment]","solutions[uninterested]","solutions[uninterestedcomment]","solutions[other]","solutions[othercomment]","sustain[none]","sustain[hope]","sustain[community]","sustain[we]","sustain[other]","disseminate[socialmedia]","disseminate[webpage]","disseminate[publication]","disseminate[other]","metadata[codemeta]","metadata[citationcff]","metadata[zenodojson]","metadata[other]","ontologies","sourcecode[none]","sourcecode[private]","sourcecode[gitlab]","sourcecode[github]","sourcecode[unsure]","sourcecode[other]"
"12","2025-03-03 11:47:58","3","en","1231948694","2025-03-03 11:17:44","2025-03-03 11:47:58","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","Y","Y","","","","","Y","You don't say what counts as market place. We use GitHub and GitHub-Zenodo integration.","","","","","","","","","Y","Y","Y","Y","","Y","Y","Y","Conferences, Talks","","Y","Y","","Whatever is used by established formats (ORCID, ROR, DCT).","","","","Y","",""
"25","2025-03-04 09:17:06","3","en","1060284714","2025-03-04 09:13:55","2025-03-04 09:17:06","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","Service Steward","Y","","","","","","","","","","","","","","","Y","","","","Y","","","Y","","","EDAM,bioschemas,RO-Crate","","","","Y","",""
"28","2025-03-04 09:52:42","3","en","1823998022","2025-03-04 09:46:36","2025-03-04 09:52:42","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","Y","started linking or updating tool information and including it in this domain, but ran in to problems due to domain editing rights being restricted to 1 user, solution not found: https://bio.tools/t?domain=nfdi4microbiota ","Y","streamlining with bio.tools and Bioschemas profiles","Y","open for concrete suggestions","","","","","","Y","Y","Y","The approaches may differ depending on the specific service","","Y","Y","","","","","looking at https://bioschemas.org/profiles/ComputationalTool/1.0-RELEASE","EDAM, others may apply","","Y","Y","Y","","Approaches may differ depending on service"
"30","2025-03-05 10:15:04","3","en","1304676296","2025-03-05 10:12:18","2025-03-05 10:15:04","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","Y","","","","","","","Y","","","","Y","","","","","","","","","Y","","","unsure","Y","Y","Y","","","","","","","","","Y","Y","",""
"33","2025-03-05 11:10:51","3","en","1615038268","2025-03-05 10:28:31","2025-03-05 11:10:51","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","can't tell","","","","","","","","","","","","","","","don't know"
"38","2025-03-05 10:47:06","3","en","1972790274","2025-03-05 10:39:44","2025-03-05 10:47:06","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","We have different tools and services we would like to offer to a wider audience. Our involved workflow system Galaxy pretty much already handles the market place stuff.","","","","","","","","","Y","Y","DataPLANT advocates an open contribution and collaboration model. We are enabling the community to work following open source software development principles. We are trying to setup some basic framework to support that.","","Y","Y","Public services like GitHUB","","","","","","","","","Y","",""
"40","2025-03-05 15:40:32","3","en","1772463327","2025-03-05 15:34:11","2025-03-05 15:40:32","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","Y","","","Y","","","Y","At the moment, this is just an overview website showcasing all the services relevant for our individual task areas.","","","","","","","","","","","","Y","","Y","At least in parts commitment from participating institutions to further develop and maintain services and software beyond the life-time of the consortium. In addition, there's the hope/wish to develop some semblance of community to ensure widespread use and development beyond the consortium.","","Y","Y","Conferences, workshops, summer/winter schools,...","Y","Y","","","","","Y","","Y","",""
"44","2025-03-06 08:33:11","3","en","269049485","2025-03-06 08:30:30","2025-03-06 08:33:11","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","","Y","Y","","","Y","Y","Y","","","","","unsure, as I am not involved in the actual development","unsure as I am not involved in the actual development","","","Y","Y","",""
"52","2025-03-06 09:57:24","3","en","221541114","2025-03-06 09:55:56","2025-03-06 09:57:24","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","Y","","","","","","","","","","","","Y","","","","","","Y","","","Y","","","","","","","Y","Y","",""
"53","2025-03-06 10:18:09","3","en","84413829","2025-03-06 10:12:51","2025-03-06 10:18:09","","","","","","","","","","","","Y","Y","","","","","","","","Y","","Y","","","","","","Y","","Y","Y","","","Y","we have a gitHub organisation (NFDI4Chem)","","","","","Y","","","","","","","","","Y","","Y","Y","Y","conference presentations and expert discussions","","","","","","","","Y","Y","",""
"57","2025-03-06 11:11:15","3","en","183973659","2025-03-06 11:07:28","2025-03-06 11:11:15","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","Y","we are working on a metadata schema","","","","","","","","","Y","Y","","Y","","Y","","Y","","","","","","","Y","Y","",""
"62","","2","en","1161320461","2025-03-06 13:42:25","2025-03-06 13:58:26","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","Y","Y","","","Y","Y","Y","","","Y","","","","","","Y","Y","","Zenodo"
"66","","2","en","2122322601","2025-03-06 16:01:08","2025-03-06 16:01:57","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","",""
"69","","2","en","440806335","2025-03-06 20:52:12","2025-03-06 20:52:53","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","Y","","","","","","","Y","","","","Y","","","","","","","Y",""
"71","","2","en","1046361758","2025-03-07 08:09:51","2025-03-07 08:12:32","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","Y","","","","","","","","","","","","","","","","Y","",""
"76","","2","en","1213067474","2025-03-07 13:27:51","2025-03-07 13:40:32","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","","","","Y","","","","","Y","Y","","","","","","","","","","","Y","",""
"80","2025-03-07 15:00:56","3","en","2111022822","2025-03-07 14:35:55","2025-03-07 15:00:56","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","Y","I'm not sure what you mean by marketplace (as we don't sell anything), but we have out website/dashboard in which we have our offered services","","","","","","","","","","","","Y","","","","Y","Y","Y","Events, conferences, summer schools...","Y","Y","Y","","","","","Y","Y","",""
"83","2025-03-07 20:31:04","3","en","433839124","2025-03-07 20:25:10","2025-03-07 20:31:04","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","Y","Y","","","","","","","Y","decentral indexing of software based on standardized metadata files","","","","","","","","","Y","Y","we attach to existing sustainable projects instead of developing new solutions ","Y","Y","Y","","Y","Y","Y","other discipline specific sidecar files, dep5, oer metadata","","","","Y","Y","",""
"84","2025-03-09 17:28:57","3","en","1735692800","2025-03-09 17:14:05","2025-03-09 17:28:57","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","some developments from other NFDI consortia might be interesting for us to bring own tools and software on the other market place","","","","","","Y","Y","","","Y","Y","Y","","","Y","","","we have a long list of ontologies on our Ontology Worldmap (https://github.com/nfdi4cat/Ontology-Overview-of-NFDI4Cat) with more than 40 core ontologies","","","Y","Y","","Zenodo"
"86","","2","en","2073016825","2025-03-10 10:05:24","2025-03-10 10:07:00","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","Y","","","","","","","","","","Y","","","Y","Y","Y","trainings","","","","","","","","Y","Y","",""
"96","2025-03-11 15:37:59","3","en","893214270","2025-03-11 15:29:07","2025-03-11 15:37:59","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","Y","CRAN, PyPi, SSC (Stata Boston Repository), Zenodo","","","","","","","","","","Y","","","","","Y","Y","Conferences","","","","Software-specific documetnation (e.g. R Package documentation using roxygen)","","","","Y","Y","",""
"97","2025-03-11 18:02:57","3","en","1785137901","2025-03-11 17:43:53","2025-03-11 18:02:57","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","","","Y","Our software illustrates the design of an API. Maybe it can be used as a template for developers.","","","","","","","We provide a living document and a demonstrator, which is usable beyond project ending.","","","","","","","","All kind, you can provide a configuration, and you use our design for data exchange and describing your data.","","Y","","","","",""
"99","2025-03-12 10:41:31","3","en","1524243892","2025-03-12 10:39:11","2025-03-12 10:41:31","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","Depends on the service/software","Y","Y","Y","","","","","","","","","Y","Y","",""
"101","","2","en","684579714","2025-03-12 11:37:00","2025-03-12 11:40:30","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","registering our software application ","","","","","","","","","","Y","","","","","","","","","","","","","","Y","",""
"102","","2","en","1683859735","2025-03-12 13:14:00","2025-03-12 13:15:37","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","Y","","Y","Y","","","Y","","","","","","","","","","","","Y","","","","","","","Y","","","Y","","","","","","","Y","",""
"103","2025-03-12 14:12:54","3","en","1477555302","2025-03-12 14:05:59","2025-03-12 14:12:54","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","Y","","","","","Y","SSH Open Marketplace as registry for curating/disseminating services/tools/training materials: https://marketplace.sshopencloud.eu/","","","","","","","nfdi.software","Is on our forecast but no specific integration plan.","","Y","Y","Y","","","","Y","project website, marketplace","","","","We don't set a policy yet, although software development guidelines are in the workplan.","","","","Y","Y","",""
"109","","2","en","834389284","2025-03-13 09:08:13","2025-03-13 09:11:02","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","","Y","","","","","","","","","","Y","","","","Y","Y","","","","","","","","","Y","Y","",""
"110","2025-03-13 10:22:39","3","en","2063589410","2025-03-13 09:56:07","2025-03-13 10:22:39","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","Y","","","Y","","","","","","","Y","Currently we have software created and coming from different institutes with their own repositories or marketplaces. We probably won't change dramatically this structure, however for software and metadata created for the consortium specifically we still need to decide how to structure and manage the repositories and marketplace.","","","","","","","","Y","Y","Y","","","","Y","","","","","We do not have that across all software we have, however this might be useful to add on our repository.","","","","Y","Y","","Under the nf-core project"
"111","","2","en","650622241","2025-03-13 11:05:35","2025-03-13 11:14:43","","","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","",""
"114","2025-03-14 14:13:46","3","en","213429620","2025-03-14 10:44:12","2025-03-14 14:13:46","","","","","","","","","","","","","","","","","","","","","","","","","","","Research Software Task Force OA7","Y","Y","","","","","","Y","","","","","","","","","","","","","Y","","","We do not build software, we curate metadata (swMATH)","","Y","","zbmath.org","Y","","","","DataCite, Openaire, CodeMeta","Y","","","","",""
"115","2025-03-15 12:48:44","3","en","451264211","2025-03-15 12:46:52","2025-03-15 12:48:44","","","","","","","","","","","","Y","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","Y","","","","","","","","Y","Y","","Y","Y","Y","","","Y","Y","","","","","Y","Y","",""
"123","2025-03-18 10:26:52","3","en","1666493184","2025-03-18 10:15:26","2025-03-18 10:26:52","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","Y","","","Y","","Y","","","","","","","","","","","","","","","","I don't know.","","Y","Y","","","","","","TaDiRAH","","","","","","GitLab; not sure how public/not public"
"127","","2","en","1378481869","2025-03-19 12:55:20","2025-03-19 12:57:05","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","Y","","","","","","","","","Y","","","","","","","","","","","Y","","","","","","Y","","","","","","","","","Y","Y","",""
"128","2025-03-19 14:11:56","3","en","2134327130","2025-03-19 14:07:54","2025-03-19 14:11:56","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","","Y","","","Y","","","","","","","","","Y","We hope to use nfdi.software as market place for our own code and also to recommend its use as a good practice during tutorials","","","","","","Y","","Y","","Y","Y","Y","Tutorials, conferences","","Y","","","Schema.org, maSMP vocabulary","","","Y","Y","","Zenodo"
"133","2025-04-03 13:44:12","3","en","944370604","2025-04-03 13:41:29","2025-04-03 13:44:12","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","","","","","","","Y","","","","","","","","","Y","","","","","","Y","","","","","","","","","","Y","","Zenodo"
"134","2025-04-04 17:44:14","3","en","662477398","2025-04-04 17:41:15","2025-04-04 17:44:14","","","","","","","Y","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","Y","","Y","","","Y","Y","","","","","","","","","","Y","",""
"136","2025-04-10 13:18:48","3","en","1301961852","2025-04-10 13:13:31","2025-04-10 13:18:48","","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","Y","GHGA Software is distributed via Github.com, see https://github.com/ghga-de . It is also linked to the NFDI GitHub repository (https://github.com/nfdi-de).","","","","","","","","","","","Y","","","Y","Y","Y","","","","","We are using a metadata schema based on international standards for genomic data sharing. The schema is modelled using LinkML and exists as a YAML. See https://github.com/ghga-de/ghga-metadata-schema","Ontologies used are listed here: https://docs.ghga.de/metadata/standards/#ontologies. They include BRENDA Tissue Ontology, Data Use Ontology, Human Ancestry Ontology, Human Phenotype Ontology, International Classification of Diseases, Mondo Disease Ontology, National Cancer Institute Thesaurus.","","","","Y","",""
"137","2025-04-10 14:00:57","3","en","1010415815","2025-04-10 13:26:38","2025-04-10 14:00:57","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","","Y","","","","","","","","","","Y","We plan to link our software metadata to the nfdi.software RSD and fill the RSD with entries regarding Earth System sciences","","","","","","","","","","","Don't know","Y","","","","","","","Don't know","","","","Y","Y","",""
"138","2025-04-10 13:37:19","3","en","1433806849","2025-04-10 13:27:11","2025-04-10 13:37:19","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","Y","","","","","","","","","","","","Y","","","","","","","","","","There is work being done to ensure sustainability, but I'm personally not aware of any concrete details. ","Y","Y","Y","","","Y","","","We use our own ontology (https://nfdi4earth.de/ontology/)","","","Y","","",""
"140","2025-04-10 17:17:22","3","en","28632644","2025-04-10 17:13:50","2025-04-10 17:17:22","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","Y","Y","","Y","","","","","","Y","We mainly use opensource projects that are hosted on e.g. Github","","","","","","","","","","","Y","Y","","","Y","Y","","","","","","","","","","Y","","Onw public gerrit-Server (git-based)"
"141","2025-04-10 17:24:05","3","en","1404540156","2025-04-10 17:17:25","2025-04-10 17:24:05","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","Y","","","","","","","","Y","","","Y","Y","Y","Scientific community communication","","","","NEXUS","","","","Y","Y","",""
"142","2025-04-10 17:56:54","3","en","1864291827","2025-04-10 17:48:05","2025-04-10 17:56:54","","","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","Y","","","","","Y","","","","Y","Y","Y","personal contacts, active acquisition","","Y","Y","","","","","","Y","","GH-Repo linked with Zenodo"
"145","2025-04-10 22:51:44","3","en","1283413640","2025-04-10 22:39:20","2025-04-10 22:51:44","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Technical Advisory Board member","","","","","","","Y","","","","","","","Y","Y","Y","","","Y","","","","","","","","","","","Y","",""
"147","2025-04-11 09:44:31","3","en","1954749885","2025-04-11 09:40:24","2025-04-11 09:44:31","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","","","","","","","","Y","Y","","","Y","Y","","","","","","","","","","Y","",""
"148","2025-04-11 10:03:53","3","en","2082031408","2025-04-11 10:00:25","2025-04-11 10:03:53","","Y","","","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","Y","","","","","","","","","Y","Y","","","","","Y","","","","","none","","","","Y","","",""
"151","2025-04-11 12:18:55","3","en","1463715127","2025-04-11 12:16:45","2025-04-11 12:18:55","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","Y","","","Y","","","","","","","Y","","","","","","","","","Y","","Y","","","Y","Y","","","","","","","","","","Y","",""
"153","2025-04-11 14:34:55","3","en","203987514","2025-04-11 14:29:11","2025-04-11 14:34:55","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","","Y","","","","","Y","(but others are more qualified to report on it than I am)","","","","","","","","","","","","","Y","","But that's of course not true for all software; but software that already existed before punch4nfdi started is likely to be continued","","Y","","","","","","","","","","Y","Y","",""
"156","2025-04-14 08:53:19","3","en","1944993791","2025-04-14 08:46:41","2025-04-14 08:53:19","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","Y","","","Y","Y","","Data Publisher","Y","It does not go under 'Marketplace' but its Open Source and we're prepared to collaborate","","","","","","","","","","","","","Y","","","","Y","Y","","","Y","Y","GitHub","","","","Y","Y","",""
"157","2025-04-14 08:59:22","3","en","1059391572","2025-04-14 08:52:51","2025-04-14 08:59:22","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","Storage4PUNCH","Y","Y","","Y","","","","","","Y","https://helmholtz.software/software/dcache","","","","","","","","","","","Y","Y","","","Y","Y","Annual User Workshops","","Y","","","data management, FAIR, storage, data access, long-term archival, open-data","","","Y","Y","",""
"158","2025-04-14 09:23:48","3","en","602356597","2025-04-14 09:18:13","2025-04-14 09:23:48","","","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","Y","","","Y","","","","","","","","","","","","","","Y","","","","Y","","","","","Y","","","","","Y","","",""
"160","2025-04-14 11:43:08","3","en","979071172","2025-04-14 11:37:53","2025-04-14 11:43:08","","","","","Y","","","","","","","","","","","","","","","","","","","","","","","Y","","","","","","","","","","","","","Y","","","","","","","","","Y","","Y","Y","Y","","","","","","","","","Y","Y","",""
